X,Y,Class,2015-12-_1,2015-12-_2,2015-12-_3,2015-12-_4,2015-12-_5,2015-12-_6,2015-12-_7,2015-12-_8
786505.7051,1429553.152,3,8965,8211,7759,6850,17655,9757,7081,5113
788226.8662,1429137.781,3,8910,8116,7521,6773,12808,10066,7593,5088
788207.7687,1428650.795,3,8903,8120,7615,6883,13177,10258,7683,5073
795727.4043,1432514.456,3,9094,8389,8185,7347,17258,11066,7876,5075
795701.1453,1433326.099,3,8899,8135,7565,6877,15051,9708,7240,5069
799864.3975,1434233.23,3,8956,8265,8225,7224,20604,11225,7828,5057
799157.7905,1433593.464,3,9008,8338,8318,7538,18743,11870,8345,5073
801621.3663,1435245.397,3,8935,8251,8179,7121,21718,11235,7716,5050
803340.1402,1432829.564,3,8974,8307,8009,7500,14754,11726,8968,5049
804791.5492,1432447.615,3,8962,8289,8107,7831,14445,12781,9215,5047
805708.2286,1429544.797,3,9150,8543,8286,8309,13253,12247,9567,5050
804361.8558,1431702.813,3,9471,9065,9100,9791,15933,17441,13140,5036
769970.8619,1456280.085,3,10089,9441,8974,8535,15261,12344,9226,5840
769421.8091,1453997.936,3,10024,9270,8827,8114,15871,10314,8133,6018
769109.0877,1456511.642,3,10292,9600,9274,8556,18120,12126,9103,6069
807805.3714,1424346.699,3,8874,8194,7734,7273,14649,10771,8030,5033
809638.7302,1421825.831,3,9196,8562,8578,8333,16319,13225,9855,5033
760171.4637,1450099.661,3,9503,8723,8251,7625,14417,10230,7994,5577
756538.1667,1453145.71,3,10252,9763,10079,9676,8696,7543,6927,5756
758934.9014,1440550.917,3,9347,8629,8350,7812,16077,12265,8892,5264
758075.5144,1442155.106,3,9200,8514,8149,7559,14703,10354,7915,5282
756490.423,1444838.303,3,10438,9787,9356,9837,12607,12756,10803,6087
763699.7245,1447311.428,3,9379,8687,8301,7607,7189,6450,6072,5419
773582.6742,1444427.707,3,9655,8907,8619,8056,15136,11830,9076,5577
764110.3204,1425244.281,3,9118,8443,8007,7503,15007,11162,8315,5177
761971.4019,1425301.574,1,9799,9301,9332,10121,15010,17154,13668,5319
804711.5785,1446843.539,1,10318,10070,10803,12124,14317,16392,13416,5071
799727.1343,1448170.815,3,9056,8403,8065,7762,12516,11162,8241,5096
808110.9312,1441381.658,1,9731,9368,9997,9502,9506,7741,6480,5053
806096.1463,1442011.875,1,9410,8924,9203,10366,14891,17523,13499,5037
811598.6099,1430188.143,3,8797,8073,7643,7315,13911,11073,8130,5042
758407.3333,1427567.013,3,9516,8743,8227,7788,14385,10449,8192,5387
759028.0016,1431980.92,1,10642,10215,10772,12676,16784,20066,16291,5507
792116.7856,1450868.335,3,8955,8221,7830,7056,15861,9082,6983,5213
791066.4238,1451973.602,3,9123,8418,8151,7535,15024,12011,8852,5192
790560.3404,1443809.426,1,9334,8754,8393,7997,13104,10411,8144,5289
788641.0429,1445461.359,1,10040,9551,9805,11071,12526,13931,10833,5149
791687.0921,1441450.886,2,10207,9736,10078,10516,14320,13394,11458,5128
786435.2831,1448774.773,2,10806,10599,12087,16013,18477,23204,16118,5199
