X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
788564.653,1431467.675,3,10186,9399,9111,8123,20743,10935,7658,5179
789242.6138,1431945.112,3,10300,9530,9031,8071,18976,10119,7241,5269
787428.3525,1430856.555,3,10017,9279,8849,8065,17020,11362,8098,5178
787304.2188,1433162.577,3,10778,10270,10280,9861,12354,10865,8505,5284
786505.7051,1429553.152,3,10174,9395,8836,7979,16613,9604,7299,5197
788226.8662,1429137.781,3,10060,9274,8549,7869,12614,10364,7879,5161
788207.7687,1428650.795,3,10147,9356,8640,8048,12816,10587,7996,5166
795727.4043,1432514.456,3,10126,9415,9002,8315,17144,11606,8306,5205
795701.1453,1433326.099,3,10102,9374,8730,8194,14863,10308,7561,5165
799864.3975,1434233.23,3,9911,9133,8870,7779,19821,10212,7224,5152
799157.7905,1433593.464,3,9923,9181,8837,8076,18514,11699,8249,5149
801621.3663,1435245.397,3,9937,9213,8914,8147,19743,11535,8198,5117
803340.1402,1432829.564,3,10007,9319,8890,8626,14512,12702,9880,5109
804791.5492,1432447.615,3,9999,9313,8865,8711,14326,13403,9814,5113
805708.2286,1429544.797,3,10060,9388,9074,9027,13551,13123,10393,5141
804361.8558,1431702.813,3,10351,9865,9769,10578,15471,17785,13520,5136
769970.8619,1456280.085,3,10337,9580,8822,8397,12756,12114,9048,5143
769421.8091,1453997.936,3,10145,9335,8564,7824,14046,9104,6939,5105
769109.0877,1456511.642,3,10221,9448,8945,8193,17378,12134,8424,5114
807805.3714,1424346.699,3,9931,9150,8551,8338,14853,11190,8175,5125
809638.7302,1421825.831,3,10196,9533,9168,8953,15822,13802,10702,5111
760171.4637,1450099.661,3,10036,9243,8607,8090,14210,10102,7679,5125
756538.1667,1453145.71,3,10464,9888,9847,9339,8087,6194,5702,5112
758934.9014,1440550.917,3,10201,9500,8978,8757,15171,13483,9736,5185
758075.5144,1442155.106,3,10041,9283,8715,8256,14436,10810,8219,5153
756490.423,1444838.303,3,10064,9325,8859,9402,11613,12794,10750,5156
763699.7245,1447311.428,3,10115,9360,8687,7948,7626,6076,5620,5139
773582.6742,1444427.707,3,10663,9912,9155,8653,12685,11139,8639,5181
764110.3204,1425244.281,3,10189,9449,8815,8444,13657,11485,8548,5254
761971.4019,1425301.574,1,10483,9912,9733,10556,14911,18237,14591,5205
804711.5785,1446843.539,1,10754,10333,10724,11868,14324,16511,13555,5079
799727.1343,1448170.815,3,10061,9379,8923,8736,13287,13166,9770,5099
808110.9312,1441381.658,1,10366,9848,9956,9768,11005,8804,7203,5087
806096.1463,1442011.875,1,10182,9570,9600,10599,14825,17401,13408,5077
811598.6099,1430188.143,3,9808,9057,8466,8214,13694,11743,8691,5112
758407.3333,1427567.013,3,10114,9400,8725,8309,13498,10329,7981,5153
759028.0016,1431980.92,1,10692,10236,10399,12155,16345,20557,16772,5163
792116.7856,1450868.335,3,9916,9148,8597,7914,14945,8943,6732,5141
791066.4238,1451973.602,3,10133,9451,8944,8542,14466,12291,8804,5179
790560.3404,1443809.426,1,10309,9571,9272,9212,13485,9733,7558,5185
788641.0429,1445461.359,1,11193,10633,10464,10884,12523,12246,10327,5238
791687.0921,1441450.886,2,10804,10260,10155,10434,13818,13600,11278,5124
786435.2831,1448774.773,2,11363,11010,11851,14413,17677,22404,15986,5205
783038.2748,1448183.349,4,10240,9559,9008,8205,11274,8126,6735,5218
781200.9491,1450973.362,4,10122,9375,8639,7784,7398,6012,5620,5173
781473.1455,1451177.509,4,10166,9373,8677,7821,7468,6001,5624,5190
796307.8494,1441038.193,4,9939,9209,8503,7659,7359,5734,5429,5083
774882.5901,1420521.389,4,9991,9136,8127,7469,7384,6123,5704,5229
769952.4328,1411304.139,4,10690,10100,9864,10142,14599,15447,12213,5339
757591.3137,1417663.327,4,10050,9206,8240,7520,7379,6124,5692,5223
764093.4052,1431382.026,4,10326,9698,9332,8443,7797,6418,5885,5257
769452.2719,1454818.136,4,10314,9639,9165,9030,11078,10889,8864,5118
769809.5297,1454889.588,4,10193,9428,8728,8161,7715,5967,5523,5109
771881.6248,1447672.98,4,10330,9579,8770,8026,8228,6185,5707,5152
768809.2079,1444171.854,4,10337,9602,8990,8193,8379,6195,5733,5146
