"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"79",784098.04,1442058.343,2,10764,10493,10571,11233,12248,12638,11701,5143
"80",781692.3488,1441776.826,2,10374,9927,9646,9800,11875,11537,10540,5173
"81",795601.8505,1448027.784,2,11301,11066,11522,12539,15408,16751,12842,5109
"82",798020.3379,1446159.535,2,10852,10642,11122,11517,14959,13619,11779,5098
"83",778646.8461,1453619.737,2,13526,13769,13197,13205,15974,18057,15381,5226
"84",776573.8569,1447720.675,2,10370,9995,10016,10655,14835,15097,12236,5416
"85",785300.8856,1425416.846,2,10459,10077,10209,10395,13212,12490,10931,5106
"86",788103.2599,1423497.412,2,10426,10095,10820,11773,14555,15273,13859,5081
"88",785876.7159,1428014.481,2,10812,10455,10256,10576,11673,12280,11680,5109
"89",789472.4565,1428398.368,2,10844,10916,12283,14428,18501,22037,17854,5077
"90",790752.0794,1428347.183,2,10673,10298,10317,10827,11608,11514,10658,5070
"92",776445.8946,1426862.82,2,10599,10262,10192,10596,12770,13564,12725,5169
"93",780828.6033,1429540.431,2,10277,9789,9397,9533,10692,10946,10364,5155
"94",778723.6235,1431063.183,2,10626,10202,9864,9886,10894,11102,10637,5134
"95",784936.193,1428206.424,2,10194,9788,9492,9666,11341,11071,10084,5134
"97",782959.1755,1430855.244,2,10337,10023,9661,10071,10641,11087,10293,5143
"98",778007.0346,1420835.796,2,10546,10126,10584,10672,14911,15027,13761,5123
"99",795640.2392,1435289.137,2,11532,11540,12018,12798,13919,13721,12937,5058
"100",771768.8726,1444425.646,2,10707,10167,9980,10254,12528,12054,10831,5647
"104",773768.2835,1440932.275,2,11548,11079,10085,9799,14414,15228,13840,5498
"105",772850.154,1441328.958,2,10867,10641,9575,9330,13282,13993,12507,5457
"106",772760.5804,1440743.53,2,11118,10814,9801,9845,12884,13129,12199,5497
"108",773362.0032,1442499.013,2,11105,10590,9166,8707,13457,13680,11971,5436
"109",776002.0253,1432857.054,2,11277,11352,9018,8516,12518,14425,12187,5170
"110",776211.5636,1433334.513,2,11357,11501,10530,10708,14080,13007,11577,5149
"111",773952.2293,1431538.243,2,9923,9292,8438,7954,11148,12536,12987,5181
"112",781578.7822,1433534.454,2,11745,11361,9912,9807,12512,12909,13385,5198
"113",781842.7045,1433403.293,2,10383,9620,8860,8122,13328,11752,10148,5197
"114",780374.3371,1434209.456,2,10821,10415,9114,8969,11430,11053,10014,5187
"115",778035.8261,1438160.292,2,11031,10475,9242,8883,11300,13005,11902,5275
"118",787284.3012,1450761.379,2,11694,11833,12387,11749,11466,10585,9820,5271
"119",788359.1845,1450831.758,2,10677,10067,10067,9589,10401,10098,10281,5135
"121",790040.2892,1418367.723,2,10599,10098,9201,8983,11443,11266,10770,5051
"122",791804.5693,1418027.024,2,9909,9360,8039,7420,12333,10926,9201,5036
"123",782844.0094,1420004.041,2,14055,13755,10867,9613,15810,17077,16482,5081
"124",781158.3061,1452120.178,2,11982,11259,9073,8753,13950,14232,12913,5316
"125",782159.811,1452471.875,2,10213,9773,10045,10637,15460,16112,12968,5305
"126",763864.4403,1413927.826,3,9120,8382,8065,6991,17384,9580,7098,5183
"127",763270.031,1413834.726,3,9010,8223,7618,6655,8753,6191,5632,5120
"128",778882.2269,1413506.488,3,8894,8111,7555,6832,14637,10770,7731,5085
"129",778743.7701,1412298.572,3,8740,7922,7240,6465,13065,9186,6919,5096
"130",779211.6585,1412494.321,3,8714,7905,7287,6499,14354,9643,6981,5092
"132",780462.544,1413420.549,3,8786,8011,7379,6656,13560,9730,7066,5079
"133",781250.3153,1412494.321,3,8741,7932,7379,6568,14504,9891,7189,5051
"134",780768.1038,1414680.984,3,8751,7970,7452,6652,14080,10110,7345,5071
"135",778018.0656,1411147.948,3,8642,7836,7101,6344,12277,8761,6670,5064
"136",777929.7397,1412207.859,3,8762,7955,7320,6573,14213,9809,7154,5092
"137",776795.8264,1414843.312,3,8744,7985,7652,6881,6090,5457,5305,5102
"139",779137.6558,1415664.504,3,8912,8186,7757,7132,14812,11648,8341,5099
"142",788564.653,1431467.675,3,9021,8291,8346,7108,21844,10876,7434,5073
"143",789242.6138,1431945.112,3,9033,8313,7929,6918,15980,9070,6734,5075
"146",786505.7051,1429553.152,3,8965,8211,7759,6850,17655,9757,7081,5113
"148",788207.7687,1428650.795,3,8903,8120,7615,6883,13177,10258,7683,5073
"149",795727.4043,1432514.456,3,9094,8389,8185,7347,17258,11066,7876,5075
"150",795701.1453,1433326.099,3,8899,8135,7565,6877,15051,9708,7240,5069
"151",799864.3975,1434233.23,3,8956,8265,8225,7224,20604,11225,7828,5057
"152",799157.7905,1433593.464,3,9008,8338,8318,7538,18743,11870,8345,5073
"153",801621.3663,1435245.397,3,8935,8251,8179,7121,21718,11235,7716,5050
"154",803340.1402,1432829.564,3,8974,8307,8009,7500,14754,11726,8968,5049
"155",804791.5492,1432447.615,3,8962,8289,8107,7831,14445,12781,9215,5047
"156",805708.2286,1429544.797,3,9150,8543,8286,8309,13253,12247,9567,5050
"158",769970.8619,1456280.085,3,10089,9441,8974,8535,15261,12344,9226,5840
"159",769421.8091,1453997.936,3,10024,9270,8827,8114,15871,10314,8133,6018
"161",807805.3714,1424346.699,3,8874,8194,7734,7273,14649,10771,8030,5033
"162",809638.7302,1421825.831,3,9196,8562,8578,8333,16319,13225,9855,5033
"163",760171.4637,1450099.661,3,9503,8723,8251,7625,14417,10230,7994,5577
"164",756538.1667,1453145.71,3,10252,9763,10079,9676,8696,7543,6927,5756
"165",758934.9014,1440550.917,3,9347,8629,8350,7812,16077,12265,8892,5264
"166",758075.5144,1442155.106,3,9200,8514,8149,7559,14703,10354,7915,5282
"167",756490.423,1444838.303,3,10438,9787,9356,9837,12607,12756,10803,6087
"170",764110.3204,1425244.281,3,9118,8443,8007,7503,15007,11162,8315,5177
"171",761971.4019,1425301.574,1,9799,9301,9332,10121,15010,17154,13668,5319
"172",804711.5785,1446843.539,1,10318,10070,10803,12124,14317,16392,13416,5071
"173",799727.1343,1448170.815,3,9056,8403,8065,7762,12516,11162,8241,5096
"174",808110.9312,1441381.658,1,9731,9368,9997,9502,9506,7741,6480,5053
"175",806096.1463,1442011.875,1,9410,8924,9203,10366,14891,17523,13499,5037
"176",811598.6099,1430188.143,3,8797,8073,7643,7315,13911,11073,8130,5042
"177",758407.3333,1427567.013,3,9516,8743,8227,7788,14385,10449,8192,5387
"178",759028.0016,1431980.92,1,10642,10215,10772,12676,16784,20066,16291,5507
"179",792116.7856,1450868.335,3,8955,8221,7830,7056,15861,9082,6983,5213
"181",790560.3404,1443809.426,1,9334,8754,8393,7997,13104,10411,8144,5289
"182",788641.0429,1445461.359,1,10040,9551,9805,11071,12526,13931,10833,5149
"183",791687.0921,1441450.886,2,10207,9736,10078,10516,14320,13394,11458,5128
"184",786435.2831,1448774.773,2,10806,10599,12087,16013,18477,23204,16118,5199
"185",783038.2748,1448183.349,4,9722,9022,8666,7860,11197,8458,7074,5660
"186",781200.9491,1450973.362,4,9349,8615,7941,7169,7159,6054,5852,5302
"188",796307.8494,1441038.193,4,8772,7954,7325,6466,6071,5291,5210,5085
"189",774882.5901,1420521.389,4,8993,8217,7496,6693,6259,5660,5470,5144
"190",769952.4328,1411304.139,4,9637,9185,9115,9443,14526,14673,12005,5130
"191",757591.3137,1417663.327,4,9130,8321,7433,6751,6550,5943,5691,5258
"192",764093.4052,1431382.026,4,9601,9050,9062,8355,6908,6247,5900,5301
"194",769809.5297,1454889.588,4,9832,9144,8735,8306,8325,7241,6700,5882
"195",771881.6248,1447672.98,4,10087,9302,8742,8025,8697,7648,7012,5903
"196",768809.2079,1444171.854,4,9843,9271,9049,8040,8750,7400,6899,5755
"197",782885.1643,1448673.302,4,9405,8821,8280,7330,8331,6473,6108,5421
"198",780813.0692,1443671.693,4,9502,8818,8615,7734,6503,6104,5834,5303
"199",782956.6159,1443671.693,4,9624,9130,9075,8260,6713,5890,5702,5239
"201",780170.0052,1432668.154,4,8991,8274,7884,6916,6276,5604,5494,5138
"202",769586.8266,1454478.674,4,9821,9099,8589,8107,8335,7224,6685,5850
"204",783264.9754,1447980.216,4,9454,8845,8396,7457,8315,6610,6196,5465
"205",783741.8582,1451399.815,4,9171,8410,7831,7004,6929,6234,5961,5309
"206",785021.2999,1451318.396,4,9168,8382,7503,6918,7075,6377,6082,5305
"207",783939.5901,1450620.519,4,9280,8535,7918,7297,8743,7131,6447,5339
"208",784893.3557,1450434.418,4,9397,8695,8439,7615,7354,6997,6823,5265
"209",785067.825,1448899.088,4,9862,9518,9967,8646,7190,6193,5895,5230
"210",790149.1935,1431855.776,4,8877,8046,7213,6511,6174,5427,5319,5108
"211",784170.5939,1436376.181,4,8801,8010,7246,6451,6080,5508,5414,5132
"212",795722.7389,1441204.426,4,8780,7986,7321,6480,6128,5373,5274,5095
"214",789638.2401,1431723.359,4,8892,8079,7189,6503,6239,5431,5319,5107
"216",784016.317,1428794.042,4,8877,8047,7220,6490,6086,5482,5384,5127
"217",784193.8515,1428379.795,4,8891,8060,7213,6497,6070,5459,5362,5103
"218",785466.1814,1424917.874,4,8761,7946,6994,6332,5810,5386,5294,5090
"219",782694.672,1424395.133,4,8783,7922,6973,6306,5901,5399,5299,5103
"220",782773.5762,1424237.325,4,8730,7896,6976,6289,5862,5412,5286,5095
"221",785604.2637,1424740.339,4,8724,7916,6927,6260,5768,5356,5263,5083
"222",790644.2685,1424335.955,4,8619,7792,6827,6213,5740,5257,5190,5039
"223",784200.0844,1436660.147,4,8820,7996,7256,6435,6046,5421,5342,5119
"226",782528.8932,1443635.554,4,9241,8470,7836,7193,15528,9249,7191,5220
"227",783376.5989,1445573.167,4,9252,8644,8153,7186,7320,5956,5751,5260
"228",763641.094,1447235.854,4,9341,8662,8237,7536,7162,6509,6130,5435
